trace_file, trace_type, algorithm, hits, misses, writes, filters, cache_size, cache_size_label, cache_size_label_type, hitrate, avg_pollution, time, perfect_hit
/Users/daniar/Documents/Github/cache-benchmark/inf-workload-traces/criteo_kaggle_all_mmap/inference=0.003/,gik,cacheus,6747324,403768,403768,0,211190,211190,size,94.35,,97.32,112901
/Users/daniar/Documents/Github/cache-benchmark/inf-workload-traces/criteo_kaggle_all_mmap/inference=0.003/,gik,cacheus,6784303,366789,366789,0,241360,241360,size,94.87,,98.06,121307
/Users/daniar/Documents/Github/cache-benchmark/inf-workload-traces/criteo_kaggle_all_mmap/inference=0.003/,gik,cacheus,6817401,333691,333691,0,271530,271530,size,95.33,,96.66,129227
/Users/daniar/Documents/Github/cache-benchmark/inf-workload-traces/criteo_kaggle_all_mmap/inference=0.003/,gik,cacheus,6849422,301670,301670,0,301700,301700,size,95.78,,89.25,137521
/Users/daniar/Documents/Github/cache-benchmark/inf-workload-traces/criteo_kaggle_all_mmap/inference=0.003-20/,gik,cacheus,4443942,1056898,1056898,0,15081,15081,size,80.79,,119.89,7711
/Users/daniar/Documents/Github/cache-benchmark/inf-workload-traces/criteo_kaggle_all_mmap/inference=0.003-20/,gik,cacheus,4443942,1056898,1056898,0,15081,15081,size,80.79,,116.1,30702
/Users/daniar/Documents/Github/cache-benchmark/inf-workload-traces/criteo_kaggle_all_mmap/inference=0.003-15/,gik,cacheus,3087222,1038408,1038408,0,15029,15029,size,74.83,,106.4,31763
/Users/daniar/Documents/Github/cache-benchmark/inf-workload-traces/criteo_kaggle_all_mmap/inference=0.003-10/,gik,cacheus,1870888,879532,879532,0,14448,14448,size,68.02,,72.67,39413
/Users/daniar/Documents/Github/cache-benchmark/inf-workload-traces/criteo_kaggle_all_mmap/inference=0.003-5/,gik,cacheus,793245,581965,581965,0,11854,11854,size,57.68,,41.85,69623
/Users/daniar/Documents/EV-Store/datasets/criteo/workload/day-2/1MLOC/137k/,gik,cacheus,6270202,880838,880838,0,10436,10436,size,87.68,,126.33,42235
/Users/daniar/Documents/Github/cache-benchmark/inf-workload-traces/criteo_kaggle_all_mmap/workload_avazu/,gik,cacheus,5501982,273900,273900,0,3549,3549,size,95.26,,74.5,34691
